书名,作者,出版社,年份,评分,评价人数,一句话评语
厌女,上野千鹤子 , 上海三联书店 , 2015-1 ,9.1,47642, 
永恒的终结,[美] 艾萨克·阿西莫夫 , 江苏凤凰文艺出版社 , 2014-9 ,9.1,38508,关于时间旅行的终极奥秘和恢宏构想
台北人,白先勇 , 广西师范大学出版社 , 2010-10 ,9.0,59854,白先勇短篇小说集
西游记（全二册）,吴承恩 , 人民文学出版社 , 2004-8 ,9.0,76834,神魔皆有人情，精魅亦通世故
文学回忆录,木心 口述 , 广西师范大学出版社 , 2013-1-10 ,9.1,41155,木心留给世界的礼物
哭泣的骆驼,三毛 , 哈尔滨出版社 , 2003-6 ,9.0,53935,沙漠中寻常的生与死
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 , 四川文艺出版社 , 2015-12 ,9.1,55083,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
灿烂千阳,[美] 卡勒德·胡赛尼 , 上海人民出版社 , 2007-9 ,8.9,112093,唯有希望与爱可以驱散阴霾
最好的告别,[美] 阿图·葛文德（Atul Gawande） , 浙江人民出版社 , 2015-7-31 ,9.0,42587,关于衰老与死亡，你必须知道的常识
孽子,白先勇 , 广西师范大学出版社 , 2010.10 ,9.1,36020,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
窗边的小豆豆,[日] 黑柳彻子 著 , 南海出版公司 , 2003-1 ,8.8,194388,真正懂孩子的教育经
人间词话,王国维 , 上海古籍出版社 , 1998-12 ,9.0,50829,以新眼光评旧文学
秋园,杨本芬 , 北京联合出版公司 , 2020-6 ,9.0,50473, 
唐诗三百首,蘅塘退士 , 中华书局 , 1984-07-01 ,9.4,22989,熟读唐诗三百首，不会吟诗也会吟
置身事内,兰小欢 , 上海人民出版社 , 2021-8 ,9.1,39594, 
浪潮之巅,吴军 , 电子工业出版社 , 2011-8 ,9.0,31694,了解IT领域的入门读物
看见,柴静 , 广西师范大学出版社 , 2013-1-1 ,8.8,320655,在这里看见中国
呼兰河传,萧红 , 百花文艺出版社 , 2005-01 ,8.9,76033,萧红的童年往事
美的历程,李泽厚 , 生活·读书·新知三联书店 , 2009-7 ,9.2,27060,中国美学经典之作
道德经,黄元吉 , 陕西人民出版社 , 1996-10 ,9.5,17877,中国历史上首部完整的哲学著作
爱你就像爱生命,王小波 , 上海锦绣文章出版社 , 2008-5 ,8.8,106556,王小波与李银河的两地书
巨人的陨落,[英] 肯·福莱特 , 江苏凤凰文艺出版社 , 2016-5-1 ,8.9,80068,五个家族，一场战争
我们仨,杨绛 , 生活·读书·新知三联书店 , 2003-7 ,8.7,290777,家庭生活回忆录
